player,tenure_start,tenure_complete,tenure_finish,experience,year_min,year_max,allstar_games,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,pos_summary
Trevor May,-,-,-,2,2021,2022,0,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
John Mayberry,-,-,F,1,2015,2015,0,59,119,110,8,18,6,1,3,9,1,0,9,33,.164,.227,.318,.545,50,-O
Cameron Maybin,-,-,F,1,2021,2021,0,9,33,28,2,1,0,0,0,0,1,0,3,12,.036,.182,.036,.218,-35,-O
Brent Mayne,-,-,-,1,1996,1996,0,70,113,99,9,26,6,0,1,6,0,1,12,22,.263,.342,.354,.696,89,-2
Willie Mays HOF,-,-,F,2,1972,1973,2,135,481,404,51,96,19,1,14,44,2,5,70,90,.238,.352,.394,.746,112,O-3
Patrick Mazeika,S,C,F,2,2021,2022,0,61,159,147,10,28,7,0,2,12,0,0,6,27,.190,.236,.279,.515,44,2-3
Chris Mazza,S,-,-,1,2019,2019,0,8,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Lee Mazzilli,S,-,-,10,1976,1989,1,979,3496,3013,404,796,148,22,68,353,152,71,438,443,.264,.357,.396,.753,112,+O3
Jim McAndrew,S,-,-,6,1968,1973,0,147,242,194,12,19,6,0,0,9,0,1,19,82,.098,.182,.129,.311,-11,1
James McCann,-,-,-,2,2021,2022,0,182,603,549,48,121,18,1,13,64,4,2,43,161,.220,.282,.328,.610,70,2-3
Bob McClure,-,-,-,1,1988,1988,0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Rodney McCray,-,-,F,1,1992,1992,0,18,1,1,3,1,0,0,0,1,2,0,0,0,1.000,1.000,1.000,2.000,473,-O
Terry McDaniel,S,C,F,1,1991,1991,0,23,30,29,3,6,1,0,0,2,2,0,1,11,.207,.233,.241,.475,35,-O
Roger McDowell,S,-,-,5,1985,1989,0,281,67,61,4,15,5,0,0,6,0,0,3,21,.246,.281,.328,.609,70,1-O
Chuck McElroy,-,-,-,1,1999,1999,0,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1-O
Joe McEwing,-,-,-,5,2000,2004,0,502,1169,1048,131,255,53,6,15,107,22,11,65,225,.243,.296,.348,.644,69,O4653
T.J. McFarland,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Kevin McGowan,S,C,F,1,2017,2017,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Tug McGraw,S,-,-,9,1965,1974,1,363,178,157,12,27,6,0,1,15,0,0,8,43,.172,.216,.229,.445,26,+1
Ryan McGuire,-,-,-,1,2000,2000,0,1,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,-3,-O
Collin McHugh,S,-,-,2,2012,2013,0,11,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,-1
Billy McKinney,-,-,-,1,2021,2021,0,39,102,91,15,20,6,1,5,14,1,0,11,31,.220,.304,.473,.776,109,O
Jeff McKnight,S,-,F,4,1989,1994,0,173,316,288,32,72,7,2,4,28,0,1,21,52,.250,.300,.330,.630,73,46-3-5-2-O
Greg McMichael,-,-,-,3,1997,1999,0,140,4,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,167,1
Roy McMillan,-,-,F,3,1964,1966,0,346,1225,1127,98,255,36,5,3,79,5,2,58,101,.226,.269,.275,.544,57,+6
Jeff McNeil,S,C,F,7,2018,2024,2,773,3059,2763,379,802,165,13,65,305,34,10,200,354,.290,.352,.430,.782,117,+4O5-3-6
Brian McRae,-,-,-,3,1997,1999,0,300,1151,995,137,248,53,8,34,130,25,21,132,169,.249,.342,.421,.763,99,O
Kevin McReynolds,-,-,F,6,1987,1994,0,787,3218,2910,405,791,153,14,122,456,67,16,263,341,.272,.331,.460,.790,120,+O
Doc Medich,-,-,-,1,1977,1977,0,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Adonis Medina,-,-,F,1,2022,2022,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Tylor Megill,S,C,F,4,2021,2024,0,18,31,28,1,6,3,0,0,0,0,0,1,17,.214,.241,.321,.563,53,1
Jenrry Mejía,S,C,F,5,2010,2015,0,108,37,34,1,1,0,0,0,1,0,0,0,16,.029,.029,.029,.059,-83,1
Danny Mendick,-,-,-,1,2023,2023,0,33,69,65,4,12,3,0,1,4,1,0,4,15,.185,.232,.277,.509,41,-4-5-O-1
Carlos Mendoza,S,-,-,1,1997,1997,0,15,18,12,6,3,0,0,0,1,0,0,4,2,.250,.500,.250,.750,108,-O
Orlando Mercado,-,-,-,1,1990,1990,0,42,100,90,10,19,1,0,3,7,0,0,8,11,.211,.290,.322,.612,69,2
Devin Mesoraco,-,-,F,1,2018,2018,0,66,229,203,23,45,8,0,10,30,0,0,23,42,.222,.306,.409,.715,98,2
Butch Metzger,-,-,F,1,1978,1978,0,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Jason Middlebrook,-,-,F,2,2002,2003,0,8,6,5,0,0,0,0,0,0,0,0,1,2,.000,.167,.000,.167,-50,-1
Doug Mientkiewicz,-,-,-,1,2005,2005,0,87,313,275,36,66,13,0,11,29,0,1,32,39,.240,.322,.407,.729,93,3
Félix Millán,-,-,F,5,1973,1977,0,681,2954,2677,308,743,111,12,8,182,11,14,161,92,.278,.326,.337,.663,88,+4
Lastings Milledge,S,-,-,2,2006,2007,0,115,391,350,41,90,16,3,11,51,4,4,25,81,.257,.326,.414,.741,91,O
Bob Miller,-,-,F,1,1962,1962,0,17,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Bob Miller,-,-,F,3,1962,1974,0,99,53,50,2,6,1,1,0,0,0,0,1,21,.120,.137,.180,.317,-15,1
Dyar Miller,-,-,F,2,1980,1981,0,54,5,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,44,1
Keith Miller,S,-,-,5,1987,1991,0,308,854,772,121,204,40,4,7,48,44,13,59,133,.264,.323,.354,.676,91,4O-6-5
Larry Miller,-,-,F,2,1965,1966,0,32,13,13,0,3,0,0,0,0,0,0,0,6,.231,.231,.231,.462,33,1
Tyson Miller,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Ralph Milliard,-,-,F,1,1998,1998,0,10,1,1,3,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-4-6
Randy Milligan,S,-,-,1,1987,1987,0,3,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,51,
John Milner,S,-,-,7,1971,1977,0,741,2755,2389,315,586,100,12,94,338,20,14,338,368,.245,.339,.415,.754,113,+3O
Tommy Milone,-,-,-,1,2017,2017,0,10,7,5,0,1,0,0,0,1,0,0,1,4,.200,.333,.200,.533,49,-1
Blas Minor,-,-,-,2,1995,1996,0,52,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Pat Misch,-,-,F,3,2009,2011,0,39,26,21,0,1,0,0,0,0,0,0,2,9,.048,.130,.048,.178,-49,1
John Mitchell,S,-,-,4,1986,1989,0,27,44,38,1,4,1,0,0,1,0,0,0,15,.105,.105,.132,.237,-36,-1
Kevin Mitchell,S,-,-,2,1984,1986,0,115,378,342,51,94,22,2,12,44,3,4,33,64,.275,.340,.456,.796,120,O-6-5-3
Vinegar Bend Mizell,-,-,F,1,1962,1962,0,17,8,8,1,2,0,0,0,0,0,0,0,2,.250,.250,.250,.500,35,-1
Dave Mlicki,-,-,-,4,1995,1998,0,120,146,113,8,15,3,0,0,5,0,0,14,42,.133,.227,.159,.386,6,1
Herb Moford,-,-,F,1,1962,1962,0,7,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,35,-1
Gustavo Molina,-,-,-,1,2008,2008,0,2,8,7,0,1,0,0,0,0,0,0,1,1,.143,.250,.143,.393,8,-2
Johnny Monell,-,-,F,1,2015,2015,0,27,52,48,5,8,2,0,0,4,0,0,4,13,.167,.231,.208,.439,24,-2
Willie Montañez,-,-,-,2,1978,1979,0,268,1121,1019,102,252,51,0,22,143,9,5,85,140,.247,.303,.362,.665,87,3
Rafael Montero,S,-,-,4,2014,2017,0,55,48,43,1,2,0,0,0,1,0,0,0,19,.047,.047,.047,.093,-74,1
Bryce Montes de Oca,S,C,F,1,2022,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Joe Moock,S,C,F,1,1967,1967,0,13,40,40,2,9,2,0,0,5,0,0,0,7,.225,.225,.275,.500,44,-5
Tommy Moore,S,-,-,2,1972,1973,0,7,3,3,2,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,93,-1
Bob Moorhead,S,C,F,2,1962,1965,0,47,28,22,2,1,0,0,0,0,0,0,5,11,.045,.222,.045,.268,-23,1
Melvin Mora,S,-,-,2,1999,2000,0,145,281,246,41,61,13,2,6,31,9,4,22,55,.248,.312,.390,.702,79,O6-4-5
Jerry Morales,-,-,-,1,1980,1980,0,94,216,193,19,49,7,1,3,30,2,3,13,31,.254,.293,.347,.640,81,O
Al Moran,S,C,F,2,1963,1964,0,135,395,353,28,69,5,2,1,27,3,7,38,62,.195,.274,.229,.504,47,6-5
José Moreno,S,-,-,1,1980,1980,0,37,51,46,6,9,2,1,2,9,1,0,3,12,.196,.240,.413,.653,82,-4-5
Orber Moreno,-,-,F,2,2003,2004,0,39,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Kevin Morgan,S,C,F,1,1997,1997,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-5
Akeel Morris,S,-,-,1,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Guillermo Mota,-,-,-,2,2006,2007,0,68,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Zach Muckenhirn,S,C,F,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Carlos Muñiz,S,C,F,2,2007,2008,0,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Daniel Muno,S,C,F,1,2015,2015,0,17,32,27,2,4,1,0,0,0,1,0,4,11,.148,.258,.185,.443,26,-5-4
Bill Murphy,S,C,F,1,1966,1966,0,84,146,135,15,31,4,1,3,13,1,2,7,34,.230,.271,.341,.612,71,O
Daniel Murphy,S,-,-,7,2008,2015,1,903,3619,3354,422,967,228,20,62,402,57,21,218,440,.288,.331,.424,.755,109,+435O
Dale Murray,-,-,-,2,1978,1979,0,111,17,13,1,0,0,0,0,0,0,0,2,7,.000,.133,.000,.133,-59,1
Dan Murray,S,-,-,1,1999,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Eddie Murray HOF,-,-,-,2,1992,1993,0,310,1284,1161,141,318,65,3,43,193,6,4,106,135,.274,.330,.446,.776,113,+3
Dennis Musgraves,S,C,F,1,1965,1965,0,5,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Jeff Musselman,-,-,F,2,1989,1990,0,48,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,55,1
Randy Myers,S,-,-,5,1985,1989,0,185,16,16,2,3,1,0,0,1,0,0,0,8,.188,.188,.250,.438,23,1
Bob Myrick,S,C,F,3,1976,1978,0,82,16,16,0,2,0,0,0,3,0,0,0,5,.125,.125,.125,.250,-30,1
Xavier Nady,-,-,-,1,2006,2006,0,75,292,265,37,70,15,1,14,40,2,1,19,51,.264,.326,.487,.813,107,O-3
Danny Napoleon,S,C,F,2,1965,1966,0,80,142,130,7,21,3,1,0,7,0,1,9,33,.162,.225,.200,.425,23,-O-5
Tyler Naquin,-,-,-,1,2022,2022,0,49,130,123,18,25,7,2,4,13,1,0,6,40,.203,.246,.390,.636,80,O
Omar Narváez,-,-,F,2,2023,2024,0,77,215,193,16,37,7,0,2,12,0,0,17,39,.192,.254,.259,.513,45,2
Tito Navarro,S,C,F,1,1993,1993,0,12,18,17,1,1,0,0,0,1,0,0,0,4,.059,.059,.059,.118,-68,-6
Charlie Neal,-,-,-,2,1962,1963,0,208,861,761,85,189,26,10,14,76,3,10,83,139,.248,.321,.364,.685,88,456
David Newhan,-,-,-,1,2007,2007,0,56,83,74,9,15,1,1,1,6,2,0,8,19,.203,.289,.284,.573,51,-O-4-5
Mike Nickeas,S,-,-,3,2010,2012,0,73,191,172,12,31,4,0,2,19,0,1,12,43,.180,.241,.238,.479,34,2
Tomás Nido,S,-,-,8,2017,2024,0,306,895,830,84,178,32,1,16,82,1,0,38,230,.214,.251,.313,.564,57,2-5
Randy Niemann,-,-,-,2,1985,1986,0,35,7,6,1,2,0,0,0,0,0,0,1,1,.333,.429,.333,.762,116,1
Jon Niese,S,-,F,9,2008,2016,0,181,380,317,26,49,6,1,0,18,0,0,33,150,.155,.234,.180,.414,18,1
Kirk Nieuwenhuis,S,-,-,4,2012,2015,0,263,669,595,83,140,38,3,17,71,12,5,61,209,.235,.309,.395,.704,97,O
Fernando Nieve,-,-,F,2,2009,2010,0,46,11,11,0,3,0,0,0,1,0,0,0,3,.273,.273,.273,.545,48,1
Brandon Nimmo,S,C,F,9,2016,2024,0,862,3505,2949,487,781,154,31,103,346,36,17,456,790,.265,.376,.443,.819,128,+O
C.J. Nitkowski,-,-,-,1,2001,2001,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Vinny Nittoli,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Trot Nixon,-,-,F,1,2008,2008,0,11,41,35,2,6,1,0,1,1,1,0,6,9,.171,.293,.286,.578,55,-O
Junior Noboa,-,-,-,1,1992,1992,0,46,52,47,7,7,0,0,0,3,0,0,3,8,.149,.212,.149,.360,5,-4-5-6
Stephen Nogosek,S,C,F,4,2019,2023,0,8,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Joe Nolan,S,-,-,1,1972,1972,0,4,11,10,0,0,0,0,0,0,0,0,1,3,.000,.091,.000,.091,-72,-2
Hideo Nomo,-,-,-,1,1998,1998,0,16,33,30,3,8,0,0,0,3,0,0,1,11,.267,.290,.267,.557,49,-1
Dan Norman,S,-,-,4,1977,1980,0,139,307,282,23,65,5,3,9,30,8,0,22,56,.230,.287,.365,.652,83,O
Abraham Núñez,-,-,F,1,2008,2008,0,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,
Dedniel Núñez,S,C,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Ed Núñez,-,-,-,1,1988,1988,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Eduardo Núñez,-,-,F,1,2020,2020,0,2,2,2,0,1,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,178,-O
Jon Nunnally,-,-,F,1,2000,2000,0,48,92,74,16,14,5,1,2,6,3,1,17,26,.189,.337,.365,.702,81,O
Charlie O'Brien,-,-,-,4,1990,1993,0,232,659,580,52,123,32,0,8,59,1,4,57,65,.212,.289,.309,.598,67,2
Mike O'Connor,-,-,F,1,2011,2011,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Darren O'Day,-,-,-,1,2009,2009,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
